,,,,,,,,,
,Окружение,,"Сбербанк Онлайн
Версия приложения: 16.13.0
Android 14 Модель: POCO 22101320G 
Wifi соединение, 4G",,,,,,
,Идентификатор,Название,Цель теста,Предусловия,Шаги,Ожидаемый результат,Статус,Вложения,
,id-1,Установка приложения и регистрация,Подготовка приложения для его дальнейшего тестирования.,"-Смартфон  POCO 22101320G 
-Стабильное интернет соединение Wifi или 4G
-Доступ к любому браузеру
-Банковская карта Сбера
-Активная СИМка подключенная к карте Сбера
-Не включен режим экономии энергии, Устройство заряжено","1.Открытьт браузер на сайте Сбербанк Онлайн и нажать скачать.
2.Открыть APK файл, нажать Установить.
3.Открыть приложение.
4.Разрешить дотсуп контактам и уведомлениям.
5.Войти по номеру карты, ввести код из смс, придумать пароль для входа, разрешить вход по отпечатку.

","1.Сайт открывается, при нажатии скачать файл скачивается.
2.Файл не поврежден, успешная установка.
3.Приложение запустилось.
4.Пришло уведомление о доступах к разрешениям.
5.Успешная авторизация, профиль активен, не заблокирован.",Успешно,,
,id-2,Тест Deeplink,"Проверка перехода по Deeplink'у, закрытое приложение","-Авторизированный пользователь
-Закрытое приложение",1. Открыть приложение Google и вставить в поисковую строку диплинк android-app://ru.sberbankmobile/android-app/ru.sberbankmobile/payments/p2p?type=between_my_account,"1.Переход по ссылке открывает приложение Сбербанк Онлайн в разделе ""Между своими счетами"".",Успешно,,
,id-3,Тест Deeplink,"Проверка перехода по Deeplink'у, открытое приложение","-Авторизированный пользователь
-Открытое приложение",1. Открыть приложение Google и вставить в поисковую строку диплинк android-app://ru.sberbankmobile/android-app/ru.sberbankmobile/payments/p2p?type=between_my_account,"1.Переход по ссылке открывает приложение Сбербанк Онлайн в разделе ""Между своими счетами"".",Успешно,,
,id-4,Тест Deeplink,"Проверка перехода по Deeplink'у, пользователь не зашел в аккаунт","-НЕ авторизированный пользователь
-Закрытое приложение","1. Открыть приложение Google и вставить в поисковую строку диплинк android-app://ru.sberbankmobile/android-app/ru.sberbankmobile/payments/p2p?type=between_my_account
2.Провести авторизацию","1.Переход по ссылке открывает приложение на странице авторизации.
2.После успешной авторизации перекидывает в раздел ""Между своими счетами""",Успешно,,
,id-5,Тест Deeplink,"Проверка перехода по Deeplink'у, не авторизирован, открытое приложение","-НЕ авторизированный пользователь
-Открытое приложение","1. Открыть приложение Google и вставить в поисковую строку диплинк android-app://ru.sberbankmobile/android-app/ru.sberbankmobile/payments/p2p?type=between_my_account
2.Провести авторизацию","1.Переход по ссылке открывает приложение на странице авторизации.
2.После успешной авторизации перекидывает в раздел ""Между своими счетами""",Успешно,,
,id-6,Перевод между своими через главный экран приложения,"Проверить перевод между своими через вход ""Главный Экран"", полный путь","-Стабильное интернет соединение
-Пользователь авторизирован
-Немного денег на счетах","1.На главном экране тапаем на кнопку ""Между своими"".
2.Тапаем на выпадающий список ""Откуда"", проверяем отображение счетов/карт, выбираем карту с которой будет происходить перевод.
3.Тапаем на выпадающий список ""Куда"", првоеряем отображение, выбираем карту на которую делаем перевод.
4.Тап на поле ""Сколько"", вводим сумму доступную на карте.
5.Тап по кнопке ""Перевести""","1.Переход в раздел ""Между своими""
2.Раскрывается список карт/счетов, выбираем нужную карту/счет.
3.Раскрывается список карт/счетов, выбирается нужную карту/счет
4.Поле активно, раскрывается цифровой блок клавиатуры.
5.Перевод выполнен успешно.",Успешно,,
,id-7,Перевод между своими через раздел Платежи,"Проверить перевод между своими через вход раздел ""Платежи"", полный путь","-Стабильное интернет соединение
-Пользователь авторизирован
-Немного денег на счетах","1.На панели вкладок(внизу экрана), тапаем на ""Платежи""
2.Тап ""Между своими"".
3.Тапаем на выпадающий список ""Откуда"", проверяем отображение счетов/карт, выбираем карту с которой будет происходить перевод.
4.Тапаем на выпадающий список ""Куда"", првоеряем отображение, выбираем карту на которую делаем перевод.
5.Тап на поле ""Сколько"", вводим сумму доступную на карте.
6.Тап по кнопке ""Перевести""","1.Переход в раздел ""Платежи""
2.Переход в раздел ""Между своими""
3.Раскрывается список карт/счетов, выбираем нужную карту/счет.
4.Раскрывается список карт/счетов, выбирается нужную карту/счет
5.Поле активно, раскрывается цифровой блок клавиатуры.
6.Перевод выполнен успешно.",Успешно,,
,id-8,Перевод между своими через Умный поиск,"Проверить перевод между своими через вход раздел ""Умный поиск"", полный путь","-Стабильное интернет соединение
-Пользователь авторизирован
-Немного денег на счетах","1.Тап на строку поиска вверху экрана. ""Поиск с GigaChat""
2.Тап на строку поиска.
3.Вводим ""Между"".
4.Из предложеных действий GigaChat выбираем ""перевод между своими счетами"". 
5.Тапаем на выпадающий список ""Откуда"", проверяем отображение счетов/карт, выбираем карту с которой будет происходить перевод.
6.Тапаем на выпадающий список ""Куда"", првоеряем отображение, выбираем карту на которую делаем перевод.
7.Тап на поле ""Сколько"", вводим сумму доступную на карте.
8.Тап по кнопке ""Перевести""
","1.Открывается интерфейст поиска GigaChat
2.Открывается клавиатура
3.GigaChat предлагает действие ""Перевод между своими счетами""
4.Переход в раздел ""Между своими счетамим""
5.Раскрывается список карт/счетов, выбираем нужную карту/счет.
6.Раскрывается список карт/счетов, выбирается нужную карту/счет
7.Поле активно, раскрывается цифровой блок клавиатуры.
8.Перевод выполнен успешно.",Успешно,,
